"","date","tavg","prev_yrs_tavg","monthly_lagged_tavg_deviation","ab_temp"
"48",2010-12-01,0.43,13.00125,-10.36375,-2.2075
"49",2011-01-01,-1.29,12.983,-12.4105,-1.8625
"50",2011-02-01,2.24,12.9835833333333,-11.6994166666667,0.955833333333334
"51",2011-03-01,5.73,12.9960833333333,-7.97941666666666,0.713333333333334
"52",2011-04-01,12.38,12.99775,-2.72608333333333,2.10833333333333
"53",2011-05-01,18.05,13.002,1.03466666666667,4.01333333333333
"54",2011-06-01,22.4,12.9991666666667,5.35666666666667,4.04416666666667
"55",2011-07-01,26.81,13.0321666666667,7.56866666666667,6.20916666666667
"56",2011-08-01,24.04,13.0164166666667,7.52358333333333,3.5
"57",2011-09-01,21.13,13.0274166666667,4.17175,3.93083333333333
"58",2011-10-01,13.94,13.0209166666667,-1.41258333333333,2.33166666666667
"59",2011-11-01,11.04,13.0170833333333,-5.20541666666666,3.22833333333333
"60",2011-12-01,6.28,13.0135833333333,-10.2985833333333,3.565
"61",2012-01-01,2.96,13.0015,-12.6115,2.57
"62",2012-02-01,4.93,13.0028333333333,-11.7128333333333,3.64
"63",2012-03-01,10.52,13.0343333333333,-7.89266666666666,5.37833333333333
"64",2012-04-01,12.64,13.0280833333333,-2.73975,2.35166666666667
"65",2012-05-01,18.39,13.0485833333333,1.03058333333334,4.31083333333333
"66",2012-06-01,21.66,13.0465,5.28100000000001,3.3325
"67",2012-07-01,25.98,13.0465,7.88433333333333,5.04916666666667
"68",2012-08-01,24.84,13.0419166666667,7.34058333333333,4.4575
"69",2012-09-01,20.45,13.0353333333333,4.27383333333333,3.14083333333333
"70",2012-10-01,14.47,13.0485833333333,-1.50525,2.92666666666667
"71",2012-11-01,6.6,13.0386666666667,-5.26533333333333,-1.17333333333333
"72",2012-12-01,5.26,13.0639166666667,-10.3839166666667,2.58
"73",2013-01-01,1.71,13.0990833333333,-12.8299166666667,1.44083333333333
"74",2013-02-01,1.06,13.1168333333333,-11.8135,-0.243333333333332
"75",2013-03-01,4.52,13.1030833333333,-7.64641666666666,-0.936666666666667
"76",2013-04-01,11.67,13.1179166666667,-2.89208333333333,1.44416666666667
"77",2013-05-01,17.1,13.1368333333333,1.14733333333334,2.81583333333334
"78",2013-06-01,22.59,13.1566666666667,5.15,4.28333333333333
"79",2013-07-01,26.57,13.1755833333333,7.75525,5.63916666666666
"80",2013-08-01,23.67,13.1659166666667,7.17075,3.33333333333334
"81",2013-09-01,19.93,13.1656666666667,4.07766666666667,2.68666666666666
"82",2013-10-01,15.66,13.1891666666667,-1.51333333333333,3.98416666666667
"83",2013-11-01,7.38,13.1671666666667,-5.493,-0.294166666666667
"84",2013-12-01,3.67,13.1718333333333,-10.2393333333333,0.737500000000001
"85",2014-01-01,-1.83,13.19025,-12.5694166666667,-2.45083333333333
"86",2014-02-01,-0.16,13.1748333333333,-11.694,-1.64083333333333
"87",2014-03-01,3.18,13.1480833333333,-7.82891666666666,-2.13916666666667
"88",2014-04-01,11.3,13.1424166666667,-2.76825,0.925833333333335
"89",2014-05-01,17.78,13.1368333333333,1.33650000000001,3.30666666666667
"90",2014-06-01,22.47,13.1424166666667,5.36258333333334,3.965
"91",2014-07-01,24.52,13.15,7.97,3.4
"92",2014-08-01,23.62,13.1513333333333,7.08866666666667,3.38
"93",2014-09-01,20.97,13.15325,4.08758333333333,3.72916666666667
"94",2014-10-01,15.35,13.1701666666667,-1.25933333333333,3.43916666666667
"95",2014-11-01,7.4,13.157,-5.70283333333333,-0.0541666666666663
"96",2014-12-01,4.75,13.1671666666667,-10.188,1.77083333333333
"97",2015-01-01,-1.14,13.1608333333333,-12.3558333333333,-1.945
"98",2015-02-01,-4.41,13.1031666666667,-11.7765,-5.73666666666667
"99",2015-03-01,3.41,13.0970833333333,-8.04541666666666,-1.64166666666667
"100",2015-04-01,12.37,13.0930833333333,-2.77558333333333,2.0525
"101",2015-05-01,20.28,13.1375,1.28000000000001,5.8625
"102",2015-06-01,21.77,13.1244166666667,5.43641666666667,3.20916666666666
"103",2015-07-01,26,13.13025,8.06558333333334,4.80416666666666
"104",2015-08-01,26.09,13.127,7.12633333333334,5.83666666666667
"105",2015-09-01,23.58,13.13225,4.12775,6.32
"106",2015-10-01,14.47,13.133,-1.053,2.39
"107",2015-11-01,11.55,13.1476666666667,-5.82516666666666,4.2275
"108",2015-12-01,10.44,13.2195833333333,-10.13875,7.35916666666667
"109",2016-01-01,1.4,13.1901666666667,-12.4485,0.658333333333333
"110",2016-02-01,3.2,13.1995833333333,-12.4495833333333,2.45
"111",2016-03-01,9.38,13.2265,-8.23566666666666,4.38916666666667
"112",2016-04-01,11.86,13.21575,-2.93825,1.5825
"113",2016-05-01,17.11,13.2144166666667,1.64725,2.24833333333333
"114",2016-06-01,22.35,13.2201666666667,5.20983333333333,3.92
"115",2016-07-01,25.93,13.2235833333333,8.03058333333333,4.67583333333333
"116",2016-08-01,26.21,13.2393333333333,6.9815,5.98916666666667
"117",2016-09-01,22.11,13.2635,4.049,4.7975
"118",2016-10-01,14.87,13.2751666666667,-1.18766666666667,2.7825
"119",2016-11-01,9.87,13.26525,-5.79608333333333,2.40083333333333
"120",2016-12-01,3.54,13.2409166666667,-9.44091666666667,-0.260000000000002
"121",2017-01-01,3.36,13.2435833333333,-12.7960833333333,2.9125
"122",2017-02-01,5.37,13.3056666666667,-12.4615,4.52583333333333
"123",2017-03-01,4.02,13.2918333333333,-8.03183333333333,-1.24
"124",2017-04-01,13.97,13.3233333333333,-3.15333333333333,3.8
"125",2017-05-01,16.15,13.3040833333333,1.54425,1.30166666666666
"126",2017-06-01,22.21,13.3069166666667,5.18058333333333,3.7225
"127",2017-07-01,24.87,13.3151666666667,7.97316666666667,3.58166666666667
"128",2017-08-01,23.36,13.31525,7.06308333333333,2.98166666666667
"129",2017-09-01,21.41,13.3165,4.23766666666667,3.85583333333333
"130",2017-10-01,17.85,13.319,-1.11483333333333,5.64583333333334
"131",2017-11-01,8.13,13.3246666666667,-5.95466666666667,0.760000000000001
"132",2017-12-01,1.72,13.3160833333333,-9.75941666666667,-1.83666666666667
"133",2018-01-01,-0.13,13.2941666666667,-12.82,-0.604166666666668
"134",2018-02-01,5.6,13.3233333333333,-11.8583333333333,4.135
"135",2018-03-01,4.54,13.3119166666667,-8.19025,-0.581666666666667
"136",2018-04-01,9.7,13.2865,-2.8015,-0.785000000000002
"137",2018-05-01,19.37,13.3179166666667,1.33791666666666,4.71416666666667
"138",2018-06-01,22.03,13.3070833333333,5.20875,3.51416666666667
"139",2018-07-01,25.35,13.3035,8.06733333333333,3.97916666666667
"140",2018-08-01,25.62,13.3235,7.05566666666667,5.24083333333333
"141",2018-09-01,21.51,13.33225,4.23441666666667,3.94333333333334
"142",2018-10-01,14.27,13.344,-1.11483333333334,2.04083333333333
"143",2018-11-01,6.89,13.3373333333333,-5.91066666666667,-0.536666666666667
"144",2018-12-01,4.53,13.3468333333333,-9.876,1.05916666666667
